Sual_1;Sual_2;Korrelyasiya
Sponsorun dəstəyini necə dəyərləndirirsiniz?;Stadionda olan ab-havanı necə qiymətləndirirsiniz?;0.32
Bilet alma prosesini necə qiymətləndirirsiniz?;Ümumi oyunun təşkilini necə qiymətləndirirsiniz?;-0.03
Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;Ümumi oyunun təşkilini necə qiymətləndirirsiniz?;0.31
Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;Ümumi oyunun təşkilini necə qiymətləndirirsiniz?;0.11
Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);Ümumi oyunun təşkilini necə qiymətləndirirsiniz?;0.19
Tribunaların təmizliyini necə qiymətləndirirsiniz?;Ümumi oyunun təşkilini necə qiymətləndirirsiniz?;0.41
Tualetlərin təmizliyini necə qiymətləndirirsiniz?;Ümumi oyunun təşkilini necə qiymətləndirirsiniz?;0.23
Stadionda olan ab-havanı necə qiymətləndirirsiniz?;Ümumi oyunun təşkilini necə qiymətləndirirsiniz?;0.57
Ümumi oyunun təşkilini necə qiymətləndirirsiniz?;Ümumi oyunun təşkilini necə qiymətləndirirsiniz?;1.00
Klubun faəliyyətini necə dəyərləndirirsiniz?;Ümumi oyunun təşkilini necə qiymətləndirirsiniz?;0.45
Sponsorun dəstəyini necə dəyərləndirirsiniz?;Ümumi oyunun təşkilini necə qiymətləndirirsiniz?;0.11
Bilet alma prosesini necə qiymətləndirirsiniz?;Klubun faəliyyətini necə dəyərləndirirsiniz?;0.10
Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;Klubun faəliyyətini necə dəyərləndirirsiniz?;0.05
Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;Klubun faəliyyətini necə dəyərləndirirsiniz?;0.23
Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);Klubun faəliyyətini necə dəyərləndirirsiniz?;0.07
Tribunaların təmizliyini necə qiymətləndirirsiniz?;Klubun faəliyyətini necə dəyərləndirirsiniz?;0.30
Tualetlərin təmizliyini necə qiymətləndirirsiniz?;Klubun faəliyyətini necə dəyərləndirirsiniz?;0.36
Stadionda olan ab-havanı necə qiymətləndirirsiniz?;Klubun faəliyyətini necə dəyərləndirirsiniz?;0.46
Ümumi oyunun təşkilini necə qiymətləndirirsiniz?;Klubun faəliyyətini necə dəyərləndirirsiniz?;0.45
Klubun faəliyyətini necə dəyərləndirirsiniz?;Klubun faəliyyətini necə dəyərləndirirsiniz?;1.00
Sponsorun dəstəyini necə dəyərləndirirsiniz?;Klubun faəliyyətini necə dəyərləndirirsiniz?;0.50
Bilet alma prosesini necə qiymətləndirirsiniz?;Sponsorun dəstəyini necə dəyərləndirirsiniz?;0.26
Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;Sponsorun dəstəyini necə dəyərləndirirsiniz?;0.13
Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;Sponsorun dəstəyini necə dəyərləndirirsiniz?;0.09
Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);Sponsorun dəstəyini necə dəyərləndirirsiniz?;0.16
Tribunaların təmizliyini necə qiymətləndirirsiniz?;Sponsorun dəstəyini necə dəyərləndirirsiniz?;0.19
Tualetlərin təmizliyini necə qiymətləndirirsiniz?;Sponsorun dəstəyini necə dəyərləndirirsiniz?;0.18
Stadionda olan ab-havanı necə qiymətləndirirsiniz?;Sponsorun dəstəyini necə dəyərləndirirsiniz?;0.32
Ümumi oyunun təşkilini necə qiymətləndirirsiniz?;Sponsorun dəstəyini necə dəyərləndirirsiniz?;0.11
Klubun faəliyyətini necə dəyərləndirirsiniz?;Sponsorun dəstəyini necə dəyərləndirirsiniz?;0.50
Sponsorun dəstəyini necə dəyərləndirirsiniz?;Sponsorun dəstəyini necə dəyərləndirirsiniz?;1.00
